Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p5.3p.(1S<0>).8p""","=""2[1]*""","=""1/2,3/2""","=""""","=""348500""","=""""","=""10""","=""      2p5.(2P*<1/2>).3p.(1S<0>).8p                                                            ""","="""""
"=""2p5.3p.(1S<0>).9p""","=""2[1]*""","=""1/2,3/2""","=""""","=""348893""","=""""","=""10""","=""      2p5.(2P*<1/2>).3p.(1S<0>).9p                                                            ""","="""""
"=""2p5.3p.(1S<0>).10p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349166""","=""""","=""10""","=""      2p5.(2P*<1/2>).3p.(1S<0>).10p                                                           ""","="""""
"=""2p5.3p.(1S<0>).11p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349382""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).11p                                                           ""","="""""
"=""2p5.3p.(1S<0>).12p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349516""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).12p                                                           ""","="""""
"=""2p5.3p.(1S<0>).13p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349638""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).13p                                                           ""","="""""
"=""2p5.3p.(1S<0>).14p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349736""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).14p                                                           ""","="""""
"=""2p5.3p.(1S<0>).15p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349822""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).15p                                                           ""","="""""
"=""2p5.3p.(1S<0>).16p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349871""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).16p                                                           ""","="""""
"=""2p5.3p.(1S<0>).17p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349932""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).17p                                                           ""","="""""
"=""2p5.3p.(1S<0>).18p""","=""2[1]*""","=""1/2,3/2""","=""""","=""349981""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).18p                                                           ""","="""""
"=""2p5.3p.(1S<0>).19p""","=""2[1]*""","=""1/2,3/2""","=""""","=""350005""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1S<0>).19p                                                           ""","="""""
"=""2p5.3d.(3P*<2>).4s""","=""2[2]*""","=""3/2""","=""""","=""350016""","=""""","=""10""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).4s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).4s""","=""2[1]*""","=""1/2,3/2""","=""""","=""350447""","=""""","=""12""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).4s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).5s""","=""2[1]*""","=""1/2,3/2""","=""""","=""351753""","=""""","=""12""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).5s                                                           ""","="""""
"=""2p5.3d.(3D*<1>).4s""","=""2[1]*""","=""1/2,3/2""","=""""","=""355619""","=""""","=""13""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).4s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).3d""","=""""","=""1/2,3/2""","=""""","=""360826""","=""""","=""10""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).3d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).3d""","=""""","=""1/2,3/2""","=""""","=""361126""","=""""","=""10""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).3d                                                           ""","="""""
"=""2p5.4s.(1P*<1>).3d""","=""""","=""1/2,3/2""","=""""","=""361418""","=""""","=""10""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).3d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).5s""","=""2[2]*""","=""3/2""","=""""","=""362050""","=""""","=""10""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).5s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).5s""","=""2[1]*""","=""1/2,3/2""","=""""","=""362201""","=""""","=""13""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).5s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).6s""","=""2[1]*""","=""1/2,3/2""","=""""","=""362858""","=""""","=""13""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).6s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).4d""","=""""","=""1/2,3/2""","=""""","=""364766""","=""""","=""11""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).4d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).5s""","=""2[1]*""","=""1/2,3/2""","=""""","=""364990""","=""""","=""13""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).5s                                                           ""","="""""
"=""2p5.3d.(3P*<2>).6s""","=""2[2]*""","=""3/2""","=""""","=""366205""","=""""","=""13""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).6s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).4d""","=""""","=""1/2,3/2""","=""""","=""366206""","=""""","=""13""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).4d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).4d""","=""""","=""1/2,3/2""","=""""","=""366425""","=""""","=""11""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).4d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).6s""","=""2[1]*""","=""1/2,3/2""","=""""","=""366932""","=""""","=""13""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).6s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).7s""","=""2[1]*""","=""1/2,3/2""","=""""","=""367215""","=""""","=""13""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).7s                                                           ""","="""""
"=""2p5.4s.(1P*<1>).4d""","=""""","=""1/2,3/2""","=""""","=""367404""","=""""","=""11""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).4d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).5d""","=""""","=""1/2,3/2""","=""""","=""367954""","=""""","=""11""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).5d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).7s""","=""2[2]*""","=""3/2""","=""""","=""368287""","=""""","=""11""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).7s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).5d""","=""""","=""1/2,3/2""","=""""","=""368745""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).5d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).5d""","=""""","=""1/2,3/2""","=""""","=""368745""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).5d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).6s""","=""2[1]*""","=""1/2,3/2""","=""""","=""368949""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).6s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).7s""","=""2[1]*""","=""1/2,3/2""","=""""","=""369031""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).7s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).8s""","=""2[1]*""","=""1/2,3/2""","=""""","=""369331""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).8s                                                           ""","="""""
"=""2p5.3d.(3P*<2>).8s""","=""2[2]*""","=""3/2""","=""""","=""369454""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).8s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).6d""","=""""","=""1/2,3/2""","=""""","=""369645""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).6d                                                           ""","="""""
"=""2p5.4s.(1P*<1>).5d""","=""""","=""1/2,3/2""","=""""","=""369992""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).5d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).6d""","=""""","=""1/2,3/2""","=""""","=""370096""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).6d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).9s""","=""2[2]*""","=""3/2""","=""""","=""370137""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).9s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).6d""","=""""","=""1/2,3/2""","=""""","=""370206""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).6d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).8s""","=""2[1]*""","=""1/2,3/2""","=""""","=""370288""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).8s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).9s""","=""2[1]*""","=""1/2,3/2""","=""""","=""370535""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).9s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).7d""","=""""","=""1/2,3/2""","=""""","=""370631""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).7d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).10s""","=""2[2]*""","=""3/2""","=""""","=""370645""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).10s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).7s""","=""2[1]*""","=""1/2,3/2""","=""""","=""370824""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).7s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).7d""","=""""","=""1/2,3/2""","=""""","=""370906""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).7d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).9s""","=""2[1]*""","=""1/2,3/2""","=""""","=""371016""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).9s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).7d""","=""""","=""1/2,3/2""","=""""","=""371016""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).7d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).8d""","=""""","=""1/2,3/2""","=""""","=""371237""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).8d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).10s""","=""2[1]*""","=""1/2,3/2""","=""""","=""371237""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).10s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).6d""","=""""","=""1/2,3/2""","=""""","=""371443""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).6d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).8d""","=""""","=""1/2,3/2""","=""""","=""371471""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).8d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).10s""","=""2[1]*""","=""1/2,3/2""","=""""","=""371554""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).10s                                                          ""","="""""
"=""2p5.4s.(3P*<1>).8d""","=""""","=""1/2,3/2""","=""""","=""371568""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).8d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).9d""","=""""","=""1/2,3/2""","=""""","=""371664""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).9d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).9d""","=""""","=""1/2,3/2""","=""""","=""371830""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).9d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).10d""","=""""","=""1/2,3/2""","=""""","=""371941""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).10d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).9d""","=""""","=""1/2,3/2""","=""""","=""371941""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).9d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).8s""","=""2[1]*""","=""1/2,3/2""","=""""","=""371941""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).8s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).11d""","=""""","=""1/2,3/2""","=""""","=""372148""","=""""","=""15""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).11d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).10d""","=""""","=""1/2,3/2""","=""""","=""372218""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).10d                                                          ""","="""""
"=""2p5.4s.(1P*<1>).7d""","=""""","=""1/2,3/2""","=""""","=""372273""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).7d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).11d""","=""""","=""1/2,3/2""","=""""","=""372398""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).11d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).12d""","=""""","=""1/2,3/2""","=""""","=""372550""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).12d                                                          ""","="""""
"=""2p5.3d.(3D*<1>).9s""","=""2[1]*""","=""1/2,3/2""","=""""","=""372606""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).9s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).13d""","=""""","=""1/2,3/2""","=""""","=""372662""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).13d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).14d""","=""""","=""1/2,3/2""","=""""","=""372759""","=""""","=""15""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).14d                                                          ""","="""""
"=""2p5.4s.(1P*<1>).8d""","=""""","=""1/2,3/2""","=""""","=""372800""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).8d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).10s""","=""2[1]*""","=""1/2,3/2""","=""""","=""373051""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).10s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).9d""","=""""","=""1/2,3/2""","=""""","=""373176""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).9d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).11s""","=""2[1]*""","=""1/2,3/2""","=""""","=""373371""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).11s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).10d""","=""""","=""1/2,3/2""","=""""","=""373455""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).10d                                                          ""","="""""
"=""2p5.3d.(3D*<1>).12s""","=""2[1]*""","=""1/2,3/2""","=""""","=""373608""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).12s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).11d""","=""""","=""1/2,3/2""","=""""","=""373636""","=""""","=""15""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).11d                                                          ""","="""""
"=""2p5.3d.(3D*<1>).13s""","=""2[1]*""","=""1/2,3/2""","=""""","=""373776""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).13s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).14s""","=""2[1]*""","=""1/2,3/2""","=""""","=""373916""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).14s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).15s""","=""2[1]*""","=""1/2,3/2""","=""""","=""374000""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).15s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).16s""","=""2[1]*""","=""1/2,3/2""","=""""","=""374070""","=""""","=""15""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).16s                                                          ""","="""""
"=""2s.(2S).2p6.3s.3p.(3P*)""","=""2P*""","=""1/2,3/2""","=""""","=""535330""","=""""","=""200""","=""                                                                                              ""","="""""
"=""2s.(2S).2p6.3s.3p.(1P*)""","=""2P*""","=""1/2,3/2""","=""""","=""546600""","=""""","=""300""","=""                                                                                              ""","="""""
"=""2s.2p6.3s.(3S).4p""","=""2P*""","=""1/2,3/2""","=""""","=""559600""","=""""","=""300""","=""                                                                                              ""","="""""
"=""Na II (2s.2p6.3s 3S<1>)""","=""Limit""","=""---""","=""""","=""572350""","=""""","=""200""","=""                                                                                              ""","="""""
"=""Na II (2s.2p6.3s 1S<0>)""","=""Limit""","=""---""","=""""","=""575750""","=""""","=""200""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(3P*).4s""","=""2P*""","=""1/2,3/2""","=""""","=""586200""","=""""","=""300""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(1P*).4s""","=""2P*""","=""1/2,3/2""","=""""","=""591400""","=""""","=""300""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(3P*).3d""","=""2P*""","=""1/2,3/2""","=""""","=""594600""","=""""","=""400""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(3P*).5s""","=""2P*""","=""1/2,3/2""","=""""","=""596400""","=""""","=""400""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(3P*).6s""","=""2P*""","=""1/2,3/2""","=""""","=""600000""","=""""","=""400""","=""                                                                                              ""","="""""
"=""2s.2p6.(2S).4s.4p.(3P*)""","=""2P*""","=""1/2,3/2""","=""""","=""618900""","=""""","=""400""","=""                                                                                              ""","="""""
"=""2s.2p6.(2S).4s.5p.(3P*)""","=""2P*""","=""1/2,3/2""","=""""","=""629700""","=""""","=""800""","=""                                                                                              ""","="""""
"=""2s.2p6.(2S).3d.4p.(3P*)""","=""2P*""","=""1/2,3/2""","=""""","=""636600""","=""""","=""400""","=""                                                                                              ""","="""""
